자치구,한식 일반 음식점업.1,커피전문점.1,기타주점업.1,한식 육류요리 전문점.1
종로구,"5,912","3,613","1,413","1,982"
중구,"6,414","3,542",982,"2,121"
용산구,"2,987","2,076","1,332","1,184"
성동구,"2,785","1,859",621,"1,545"
광진구,"2,861","1,887","1,577","1,678"
동대문구,"3,566","1,472","1,082","1,509"
중랑구,"2,479","1,037","1,000","1,504"
성북구,"2,822","1,384","1,030","1,334"
강북구,"2,663","1,095","1,275","1,176"
도봉구,"2,009",837,477,943
노원구,"2,650","1,748",844,"1,557"
은평구,"2,585","1,296",925,"1,639"
서대문구,"2,694","1,323","1,127","1,088"
마포구,"4,705","4,475","2,559","2,928"
양천구,"2,800","1,375",851,"1,111"
강서구,"4,584","2,530","1,709","2,274"
구로구,"3,215","1,384","1,165","1,496"
금천구,"2,619","1,215",685,"1,042"
영등포구,"6,476","3,295","1,489","2,151"
동작구,"2,322","1,628",955,"1,177"
관악구,"3,689","2,049","1,672","1,628"
서초구,"6,712","3,897","1,255","2,338"
강남구,"11,486","7,273","2,528","5,008"
송파구,"5,760","3,372","1,469","2,781"
강동구,"3,388","1,660","1,349","1,459"
